"request_parameters.type","request_parameters.amazon_domain","request_parameters.search_term","request_parameters.sort_by","request_parameters.page","request_parameters.custom_id","search_results.position","search_results.title","search_results.asin","search_results.link","search_results.image","search_results.rating","search_results.ratings_total","search_results.is_prime","search_results.sponsored","search_results.price.currency","search_results.price.value","search_results.page","search_results.add_on_item.is_add_on_item"
"search","amazon.com","headphones",,,,11,"Artix CL750 Wired Headphones with Mic & Volume Control — Noise Isolating Computer Headphones Wired, On-Ear Headphones with Wire, Plug In Headphones for Laptop, Corded Headphone Over Ear Aux Jack 3.5mm","B087JWTWF9","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjg2OTU0NjA1MzEzMDk4OjE3MTI1OTc4Mzk6c3BfbXRmOjIwMDE1NTc0NTQzMDM5ODo6MDo6&url=%2Fwired-headphones-computer-laptop-wire-ear-noise%2Fdp%2FB087JWTWF9%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1712597839%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","https://m.media-amazon.com/images/I/71811d9B4vL._AC_UY218_.jpg",4.3,16203,true,true,"USD",29.99,,
"search","amazon.com","headphones",,,,12,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Dynamic Crystal-Clear Sound and Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops, No Mic - RP-HJE120-S (Silver)","B003EM800S","https://www.amazon.com/Panasonic-Headphones-RP-HJE120-S-Ergonomic-Comfort-Fit/dp/B003EM800S/ref=sr_1_13?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-13","https://m.media-amazon.com/images/I/513RM1VLybL._AC_UY218_.jpg",4.3,138899,true,,"USD",9.99,,
"search","amazon.com","headphones",,,,13,"JBL Vibe 200TWS True Wireless Earbuds - Black, Small","B097F4V3FJ","https://www.amazon.com/JBL-Vibe-200TWS-Wireless-Earbuds/dp/B097F4V3FJ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-14","https://m.media-amazon.com/images/I/61TrbMmWyOL._AC_UY218_.jpg",4.2,20164,true,,"USD",49.95,,
"search","amazon.com","headphones",,,,14,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","B07NM3RSRQ","https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-15","https://m.media-amazon.com/images/I/61O7S27O+jL._AC_UY218_.jpg",4.5,75211,true,,,,,
"search","amazon.com","headphones",,,,15,"DOQAUS Bluetooth Headphones Over Ear, 52 Hours Playtime Wireless Headphones with 3 EQ Modes, HiFi Stereo Headphones with Microphone and Soft Protein Earpads for Cellphone/TV/PC/Home Office (Navy Blue)","B098NZR96K","https://www.amazon.com/DOQAUS-Bluetooth-Headphones-Microphone-Cellphone/dp/B098NZR96K/ref=sr_1_16?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-16","https://m.media-amazon.com/images/I/71nhcjtQOUL._AC_UY218_.jpg",4.4,8938,true,,"USD",19.99,,
"search","amazon.com","headphones",,,,16,"Bluetooth Headphones Over Ear,BERIBES 65H Playtime and 6 EQ Music Modes Wireless Headset with Microphone,HiFi Stereo Foldable Lightweight, Deep Bass for Home Office Outdoors Etc(Orange Red)","B0C6F5ZBJX","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjg2OTU0NjA1MzEzMDk4OjE3MTI1OTc4Mzk6c3BfbXRmOjMwMDAxMjIxODYwNDQwMjo6MDo6&url=%2FBluetooth-Headphones-BERIBES-Microphone-Lightweight%2Fdp%2FB0C6F5ZBJX%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1712597839%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","https://m.media-amazon.com/images/I/617c1ziVVNL._AC_UY218_.jpg",4.5,23597,true,true,"USD",28.99,,
"search","amazon.com","headphones",,,,17,"DOQAUS 𝐔𝐩𝐠𝐫𝐚𝐝𝐞𝐝 Bluetooth Headphones Over Ear, 90 Hours Playtime Wireless Headphones with 3 EQ Modes, HiFi Stereo Headphones with Microphone, Soft Protein Earpads for Cellphone/PC (Navy Blue)","B0C5DLBPZG","https://www.amazon.com/DOQAUS-%F0%9D%90%94%F0%9D%90%A9%F0%9D%90%A0%F0%9D%90%AB%F0%9D%90%9A%F0%9D%90%9D%F0%9D%90%9E%F0%9D%90%9D-Bluetooth-Headphones-Microphone/dp/B0C5DLBPZG/ref=sr_1_18?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-18","https://m.media-amazon.com/images/I/61QdRc5M9+L._AC_UY218_.jpg",4.4,5313,true,,"USD",17.99,,
"search","amazon.com","headphones",,,,18,"TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","B09FT58QQP","https://www.amazon.com/TOZO-A1-Light-Weight-Headphones-Microphone/dp/B09FT58QQP/ref=sr_1_19?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-19","https://m.media-amazon.com/images/I/71Sqg+w9bFL._AC_UY218_.jpg",4.3,78498,true,,"USD",15.29,,
"search","amazon.com","headphones",,,,19,"TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass Black","B07RGZ5NKS","https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B07RGZ5NKS/ref=sr_1_20?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-20","https://m.media-amazon.com/images/I/71cVOgvystL._AC_UY218_.jpg",4.4,263933,true,,"USD",29.99,,
"search","amazon.com","headphones",,,,20,"Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, in-Line Controls for Video Meetings, Music, Gaming and Beyond - Black","B000UXZQ42","https://www.amazon.com/Logitech-Headset-H390-Noise-Cancelling/dp/B000UXZQ42/ref=sr_1_21?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-21","https://m.media-amazon.com/images/I/61jBnY6paeL._AC_UY218_.jpg",4.4,60031,true,,"USD",21.99,,
